job_title,company_name,job_id,job_description,location,job_url,scraped_at
Python Developer,Capgemini,130825906207,Completes own role independently or with minimum supervision,Bengaluru,https://www.naukri.com/job-listings-130825906207,2025-08-25 10:10:09
Python developer-Gurugram,Infosys,100725033679,"<p> <strong>Title:</strong> Python Developer<br /><strong>Role:</strong> Senior Technologist<br /><strong>Responsibilities:</strong> Design, develop, validate, and support tech solutions. Gather and translate client requirements. Estimate work and contribute to efficient systems.<br /><strong>Skills...","Hybrid - Chennai, Ahmedabad, Bengaluru",https://www.naukri.com/job-listings-100725033679,2025-08-25 10:10:09
Python Developer,Eximietas Design,210825024694,"Python Programming: must have strong,hands-on experience with Python- core language for developing simulations,analyzing data,and building tools",Bengaluru,https://www.naukri.com/job-listings-210825024694,2025-08-25 10:10:09
Python Software Developer - PAN INDIA,Infosys,310725030397,"<p> </p><p>Hiring Python Developer  with experience range 5-10 Years of experience</p><br /><p>Mandatory Skills:  Python/Django/Flask</p><br /><p>Education:  Btech/BE, BCA/MCA,Bsc/MSc</p><br /><br />","Chennai, Bengaluru, Hyderabad",https://www.naukri.com/job-listings-310725030397,2025-08-25 10:10:09
Python Software Developer - AB-PAN India,Infosys,171124003238,"and build POCs. You will create requirement specifications from the business needs,define the to-be-processes and detailed functional designs based on requirements.  . You will support configuring solution requirements on the products<br><br>Hiring for Python Developer with experience range 5 years ...","Pune, Bengaluru, Hyderabad",https://www.naukri.com/job-listings-171124003238,2025-08-25 10:10:09
"Python Software Developer-AB-Bengaluru, Hyd",Infosys,240125016513,"MCA,MTech,Bachelor of Engineering,BCA,BSc,BTech <br><br>Preferred Skills: Technology->Machine Learning->Python <br><br>Experience with at least one Python web framework (Django,Flask,etc.)<br><br>Experience with unit testing frameworks like pytest or unittest","Delhi NCR, Bengaluru, Kolkata",https://www.naukri.com/job-listings-240125016513,2025-08-25 10:10:09
Python Software Developer,Citiustech,210825025972,Experience - 5 years - 10 years. <br><br>Location - Pune / Mumbai / Chennai / Bangalore . 5 years -10+ years of experience in data engineering,"Hybrid - Chennai, Pune, Bengaluru",https://www.naukri.com/job-listings-210825025972,2025-08-25 10:10:12
Python Software Developer- bangalore,Infosys,200825036060,"Educational Requirements . MCA,MSc,MTech,Bachelor of Engineering,BCA,BSc,BTech <br><br>Basic understanding of project domain . Ability to translate functional / nonfunctional requirements to systems requirements . Ability to design and code complex programs . Ability to write test cases and scenario...","Hybrid - Chennai, Pune, Bengaluru",https://www.naukri.com/job-listings-200825036060,2025-08-25 10:10:12
Python Software Developer-AB- Pan India,Infosys,100625010322,"Educational Requirements . MCA,MSc,MTech,Bachelor of Engineering,BCA,BSc,BTech <br><br>Basic understanding of project domain . Ability to translate functional / nonfunctional requirements to systems requirements . Ability to design and code complex programs . Ability to write test cases and scenario...","Chennai, Pune, Bengaluru",https://www.naukri.com/job-listings-100625010322,2025-08-25 10:10:12
Python Developer,Golden Opportunities,190825934005,"Candidates Specification : . Must have 7+ years of experience in Python Development<br><br>Experience will be a plus(for future) Couchbase,Kafka,Any queuing system - good working knowledge API development experience<br><br>Good communication skills .",Bengaluru,https://www.naukri.com/job-listings-190825934005,2025-08-25 10:10:12
Python Developer -- 218,Orcapod Consulting Services,210825027892,"<p><strong>Role & responsibilities</strong> </p><p> </p><ol type=""1""><li><strong>Backend Python developer</strong>with Web Development and automation.</li><li>Web Crawling/Scrapping experience (3 to 5 years) </li><li>Hands-on experience RESTful APIs (Fast API preferred)</li><li><strong>MS SQL Server...","Bengaluru, Hyderabad",https://www.naukri.com/job-listings-210825027892,2025-08-25 10:10:12
Python Developer with Gen AI Experience,Tekskills,210825016947,"Proven experience as a Python Developer,with a strong portfolio of projects<br><br>Good command over prompt engineering<br><br>Experience with microservices architecture and implementation","Chennai, Bengaluru, Hyderabad",https://www.naukri.com/job-listings-210825016947,2025-08-25 10:10:12
Python Developer,Altimetrik,140825034260,"Good experience in Data Structure,System Design / System Architecture <br><br>Basic System Administration experience Public cloud understanding <br><br>Good Experience in SQL and API <br><br>Good at Django,Flask,libraries,pandas <br><br>Good at syntax and coding","Hybrid - Chennai, Pune, Bengaluru",https://www.naukri.com/job-listings-140825034260,2025-08-25 10:10:12
Python Developer,Incedo,190825929820,Must have excellent communication skills and be able to communicate complex technical information to non-technical stakeholders in a clear and concise manner<br><br>Must understand the companys long-term vision and align with it<br><br>Computer science background is preferred . <br><br> . 4-6 years ...,Chennai,https://www.naukri.com/job-listings-190825929820,2025-08-25 10:10:12
Python Developer,Incedo,190825929643,Must have excellent communication skills and be able to communicate complex technical information to non-technical stakeholders in a clear and concise manner<br><br>Must understand the companys long-term vision and align with it<br><br>Computer science background is preferred . <br><br>Qualification...,Chennai,https://www.naukri.com/job-listings-190825929643,2025-08-25 10:10:12
Python Developer,Incedo,190825929553,"Qualifications . 4-6 years of work experience in relevant field . BTech / BE/MTech or MCA degree from a reputed university<br><br> . Must Have : Python,FAST API,Uvicorn,SQLAlchemy,boto3,Lamdba server less,pymysql . Nice to have : AWS lambda,Step functions,ECR,ECS,S3,SNS,SQS,Docker,CICD",Gurgaon,https://www.naukri.com/job-listings-190825929553,2025-08-25 10:10:12
